Weight,Id
0.721260309,周威信
0.719248493,冯不破
0.718650131,石嫂
0.717090134,贝锦仪
0.716260458,单铁生
0.713325117,殷吉
0.7126275,花云
0.712104738,本相
0.710255135,史红石
0.709545769,智光大师
0.709341965,长青子
0.708303958,林远图
0.707250245,常金鹏
0.707048777,张君宝
0.705988426,李傀儡
0.704904721,裘千丈
0.703465903,成不忧
0.701691198,教士
0.700685482,汪万翼
0.700216965,兰剑
0.695445527,马敬侠
0.695316449,阿济赤
0.694447827,刘芳亮
0.693469884,竹剑
0.69281845,田青文
0.692577014,西宝
0.692401345,夏胄
0.691889872,范中恩
0.690438137,安奉日
0.69037399,米为义
0.68997482,薛公远
0.689618605,秃笔翁
0.687192519,萧中慧
0.686784104,上官毅山
0.685390377,汤若望
0.685099174,空心菜
0.685022929,殷无福
0.683551024,太皇太后
0.681383328,王进宝
0.67874826,萧半和
0.677786142,澄心
0.675297853,和尔大
0.674891987,周牧
0.674734852,龙岛主
0.673296017,静慧
0.673105034,奚长老
0.673030389,曲非烟
0.67270717,云鹤
0.669919323,玉灵道人
0.668733012,元悲
0.668733012,元痛
0.668733012,元伤
0.668386042,宋德方
0.665123228,乐厚
0.662857933,钱青健
0.662052755,孟铮
0.660774224,卓不凡
0.658298557,司马林
0.657853294,赫连铁树
0.65781919,瘦丐
0.657615509,祁志诚
0.657289585,易大彪
0.656715667,完颜洪熙
0.654784364,汪浩天
0.654564954,蔡威
0.654029292,何思豪
0.65377487,教书先生
0.651148477,风良
0.650892924,吴祯
0.650434386,钟镇
0.650393421,张春九
0.650083806,侯飞文
0.649858175,张一氓
0.647687429,史镖头
0.64763446,马光佐
0.646835527,慕容景岳
0.646569856,童怀道
0.646161562,戴永明
0.643898807,施令威
0.643099198,费要多罗
0.642956523,展飞
0.64241123,薛鹊
0.639520261,王伯奋
0.635883786,齐云
0.635503758,琴儿
0.63479817,盖一鸣
0.634751161,敖彪
0.634530972,闻先生
0.634368636,吕文德
0.632734127,胖丐
0.632329627,辛国梁
0.631017466,周云阳
0.630250926,史伯威
0.629842918,洞玄
0.62846367,董开山
0.628068558,神山上人
0.627429472,小翠
0.627127258,石骏
0.62655059,杨莲亭
0.625922088,佟国纲
0.625482681,妙风使
0.625482681,辉月使
0.625101725,姬晓峰
0.624900814,杰书
0.623889431,武铭
0.622631818,麦鲸
0.622631818,过三拳
0.621970076,天竺僧
0.621918295,灵虚
0.621881658,人厨子
0.620359059,五姑
0.61966126,马家骏
0.618526566,黎生
0.617673492,林朝英
0.617583638,简长老
0.615877623,司马大
0.614571352,梅念笙
0.61414466,姜铁山
0.613917406,王家驹
0.612314269,者勒米
0.611384685,谭文理
0.611258115,水岱
0.61030065,蒙哥
0.610187859,王武通
0.609302177,赤老温
0.608453854,王保保
0.608142314,殷无禄
0.607727046,高里津
0.606949198,刘竹庄
0.606525602,梦姑
